Lake,BIOCON,AREA,DEPMAX,DEPMN,MAT,GDD,COND,DOC,SEC,TP,AP,AP_Flag,RICH,CBio1,CBio2,CBio3,CBio4,CBio5,CBio6,CBio7,CBio8,CBio9,CBio10,CBio11,CBio12,CBio13,CBio14,CBio15,CBio16,CBio17,CBio18,CBio19,CBio20,CBio21,CBio22,CBio23,CBio24,CBio25,CBio26,CBio27,CBio28,CBio29,CBio30,CPA1,CPA2,CPA3,CPA4,CPA5,CPA6,CPA7,CPA8,CPA9,CPA10,CPA11,CPA12,CPA13,CPA14,CPA15,CPA16,CPA17,CPA18,CPA19,CPA20,CPA21,CPA22,CPA23,CPA24,CPA25,CPA26,CPA27,CPA28,CPA29,CPA30,CPA31,CPA32,CPA33,CPA34,CPA35,CPA36,CPA37,CPA38,CPA39,CPA40,CPA41,CPA42,CPA43,CPA44,CPA45,CPA46,CPA47,CPA48,CPA49,CPA50,CPA51,CPA52,CPA53,CPA54,CPA55,x_Waterbody_Name,x_Waterbody_LID,x_LakeID_Ignasi707,x_LakeID_Ignasi721
149,-0.72,1710,70.10,21.9,3.0,1654,22,5.9,3.9,4.9,1.47,0,15,-0.0396,-0.1473,0.3508,0.0958,0.0953,0.0178,0.0811,0.1604,-0.0076,-0.0798,-0.1684,-0.0052,0.0771,0.1175,0.0401,-0.0421,-0.0091,0.0412,-0.0001,-0.0002,-0.0514,0.0173,0.0014,-0.0352,-0.0259,-0.0010,0.0432,0.1201,-0.0121,0.0875,-0.2421,0.0754,0.1846,-0.0788,-0.1174,0.1017,0.0172,-0.0291,0.1096,0.1811,-0.0842,0.0629,0.0927,0.0909,-0.0801,-0.2032,-0.0284,-0.0129,0.0586,-0.0547,-0.0005,0.0156,-0.0170,-0.0892,-0.1381,-0.1117,-0.1031,-0.0077,0.0190,0.0857,-0.0588,-0.0434,0.0873,-0.0822,0.0308,-0.0822,-0.0758,-0.0255,0.0272,-0.0429,-0.0253,0.0087,0.0441,-0.0147,-0.0107,-0.0113,-0.0031,-0.0290,0.0156,0.0264,-0.0064,0.0131,-0.0034,0.0026,-0.0033,Entwine L.,15-5231-54423,157,158
150,-0.78,1726,54.90,13.2,2.7,1542,89,10.5,5.0,20.8,3.99,0,13,0.2711,0.2336,0.1193,0.1001,-0.1599,0.3888,-0.0672,-0.1822,-0.1182,0.1237,-0.2285,-0.1683,-0.0956,-0.1194,-0.0859,-0.0005,-0.0635,0.0189,-0.0019,0.0335,-0.1102,-0.0194,0.0144,-0.0627,0.0585,0.0077,-0.0089,-0.0266,0.0228,0.0260,0.0374,-0.0191,0.1874,-0.1683,-0.2170,-0.1545,0.0625,0.0345,0.1026,-0.0989,0.0300,0.1260,-0.1794,0.0908,-0.2184,-0.0559,-0.0093,0.0136,0.0914,0.0525,0.1246,0.0289,-0.1923,-0.0750,-0.1456,0.0067,-0.0820,0.2319,-0.0797,-0.0400,-0.0138,0.0921,-0.1163,-0.0232,-0.0893,0.0393,-0.0263,-0.0723,0.0316,-0.0339,-0.0196,-0.0024,0.0367,-0.0031,-0.0112,0.0492,-0.0032,-0.0136,0.0291,0.0044,-0.0457,-0.0178,0.0326,-0.0360,0.1798,Eva L.,15-6340-53970,158,159
151,-0.57,640,49.40,14.5,3.0,1614,35,4.3,5.1,7.2,2.81,0,9,-0.2138,0.2809,0.2749,-0.1312,0.0591,0.1045,0.1887,0.0611,-0.0481,-0.0994,-0.1423,0.0178,0.0981,0.0170,0.0146,-0.0344,0.1365,-0.0182,-0.0156,0.0119,0.0004,-0.0108,0.0099,0.0098,-0.0047,-0.0189,-0.0002,-0.0101,0.0140,-0.0209,-0.1741,0.0369,0.1561,-0.2781,0.2044,-0.1416,0.0974,-0.0607,0.0005,0.1211,-0.0164,0.0321,-0.0265,0.0709,0.0272,-0.0680,0.1186,0.0696,-0.0859,-0.0837,-0.0170,0.0335,-0.0016,-0.0044,0.0324,0.0086,-0.0004,0.1270,0.0517,-0.0881,0.1432,0.0185,-0.0709,-0.1035,-0.0541,-0.0169,-0.0090,-0.0143,0.0435,-0.0660,-0.0331,-0.0189,0.0089,0.0021,-0.0086,0.0078,-0.0048,-0.0035,0.0100,-0.0097,0.0028,-0.0071,0.0120,-0.0134,-0.0147,Factor L.,15-5688-53944,159,160
152,-0.77,1459,51.90,16.3,2.9,1601,44,10.9,2.5,10.7,4.82,0,11,-0.2725,-0.1080,0.0370,0.0561,0.0312,0.0207,0.1000,-0.0917,-0.0992,-0.0264,-0.0665,-0.0399,-0.0247,0.0326,0.0998,-0.0383,-0.2161,0.0595,0.0366,0.0289,-0.0763,0.0382,0.0148,-0.0639,0.0241,0.0482,-0.0170,-0.0336,-0.0323,-0.0011,-0.3212,-0.0547,0.0615,-0.0059,0.0958,0.0845,0.0813,0.0169,0.1000,-0.0786,0.0349,0.0825,-0.2008,0.0364,-0.0284,0.0976,-0.0248,-0.0408,-0.0163,-0.0888,0.0506,0.0423,-0.0928,-0.0333,-0.0849,0.1387,0.0030,-0.0670,-0.0521,-0.0092,-0.0174,-0.0083,-0.0004,0.0069,-0.0209,0.0098,-0.0073,0.0176,-0.0176,0.0013,0.0057,0.0096,0.0073,0.0048,-0.0044,0.0028,-0.0057,0.0072,0.0099,0.0058,0.0044,0.0023,0.0125,0.0030,-0.0064,Finlayson L.,15-6034-54181,161,162
153,-1.17,260,6.10,3.0,2.7,1668,66,11.5,1.5,11.4,2.38,0,6,-0.1643,-0.3548,-0.2747,0.1664,0.0483,0.0816,-0.0388,0.1521,0.0985,0.0546,0.0116,0.0054,0.0428,-0.0044,0.0101,0.0035,0.0295,-0.0161,0.0059,0.0206,-0.0507,-0.0055,0.0157,-0.0112,-0.0010,-0.0045,-0.0191,-0.0264,-0.0180,0.0159,0.0107,-0.2311,-0.4630,-0.1568,-0.1251,0.0439,-0.0714,0.0940,-0.0004,0.0449,0.1122,-0.0760,-0.1245,0.0755,-0.0999,0.0618,0.0373,-0.0716,0.0965,-0.1550,0.0740,-0.0001,-0.0765,-0.0682,-0.1912,0.1354,0.0315,-0.0067,-0.0457,-0.0543,-0.0055,-0.0404,-0.0273,0.0160,-0.0616,-0.0099,-0.0005,-0.0109,-0.0079,0.0195,-0.0011,0.0370,0.0211,0.0369,-0.0147,0.0134,-0.0078,-0.0005,0.0151,-0.0037,0.0185,0.0027,0.0035,0.0001,-0.0097,Godson L.,15-5172-54948,162,163
154,-0.95,1333,48.80,17.0,2.9,1624,19,2.5,5.5,8.9,1.39,0,7,0.1198,0.1300,0.2404,0.3088,0.4041,-0.0010,0.0105,0.0176,0.0875,-0.0797,0.0880,0.0759,0.0334,0.0224,-0.1416,0.0940,0.1058,0.0031,-0.0058,-0.0086,-0.0337,-0.0602,-0.0129,0.0176,0.0223,-0.0196,-0.0031,-0.0192,0.0116,0.0233,-0.0505,0.1832,0.1438,-0.2974,0.0186,0.1318,0.0248,0.0493,-0.1444,0.1442,-0.0598,0.0172,0.1906,0.0864,0.1258,-0.0107,-0.2567,-0.0900,0.2601,-0.0199,0.1399,-0.1482,-0.0478,0.0945,0.0927,0.0536,0.0753,0.0285,0.0191,0.0027,0.0098,-0.0460,0.0124,0.0619,0.0364,-0.0280,-0.0441,0.0041,-0.0032,-0.0110,0.0116,0.0362,0.0251,0.0004,0.0195,0.0101,-0.0021,-0.0128,-0.0017,0.0263,0.0220,-0.0007,-0.0184,-0.0046,0.0188,Grey Trout L.,15-5670-54304,163,164
155,-1.17,2454,27.50,16.9,2.5,1652,112,8.8,2.3,10.2,0.26,0,16,0.0119,-0.1596,0.2314,0.3920,-0.0668,-0.1938,-0.0656,-0.1396,0.0584,0.0687,0.0141,0.0243,0.0493,-0.0052,-0.0052,0.0263,0.0717,-0.0211,-0.0007,-0.0507,0.0476,-0.0332,-0.0057,0.0146,-0.0219,-0.0018,0.0214,0.0210,0.0088,0.0222,-0.2387,0.0571,0.0852,0.1761,-0.1788,-0.0545,-0.1034,-0.0710,-0.0751,0.2197,-0.0626,-0.1280,0.1764,0.0209,-0.0107,0.1337,0.0377,-0.0178,-0.0242,-0.0031,-0.1450,0.0803,0.0158,0.0098,0.0366,-0.0999,0.0231,-0.0176,0.0063,-0.0504,0.0780,-0.0785,0.0623,0.1151,0.0154,-0.0126,-0.0568,-0.0191,-0.0280,0.0019,-0.0405,0.0128,0.0020,-0.0092,-0.0012,-0.0091,0.0074,0.0143,0.0096,0.0089,-0.0089,-0.0082,-0.0191,0.0004,-0.0071,Gullwing L.,15-5293-55287,164,165
156,-0.81,887,102.70,27.5,3.1,1744,36,3.9,6.9,3.5,4.98,0,10,-0.2748,-0.1847,0.2096,-0.0409,0.0212,-0.1410,0.1537,-0.0013,-0.0172,-0.0469,-0.1827,-0.0687,0.0853,0.0738,0.1269,-0.0725,0.0362,-0.0004,0.0074,0.0401,-0.0312,0.0341,0.0239,-0.0310,-0.0130,0.0318,-0.0239,-0.0119,-0.0320,-0.0122,-0.3109,0.0127,0.0452,-0.1223,0.1182,0.0647,0.0486,-0.0029,0.0529,0.0495,-0.0015,0.0703,-0.2125,-0.0134,-0.1401,-0.1284,-0.0526,-0.0658,0.0086,-0.0693,-0.0378,0.0140,-0.0222,0.0118,0.0217,0.0145,-0.0378,-0.0089,-0.0395,0.0336,0.0192,0.0339,0.0024,-0.0386,0.0389,0.0195,0.1547,0.2053,-0.0338,-0.0191,0.0811,0.0392,0.0203,-0.0161,0.0138,0.0037,-0.0025,-0.0004,-0.0100,-0.0052,0.0044,-0.0039,0.0290,-0.0053,-0.0064,Hawk L.,15-4279-55138,165,166
157,-1.47,144,16.00,8.4,2.8,1612,19,4.1,3.8,8.7,0.00,0,6,0.2162,-0.5101,-0.1439,0.2938,0.0598,0.0612,-0.0264,-0.0065,-0.0776,-0.1115,0.0342,-0.1105,0.0141,0.0575,0.0116,0.0286,-0.0005,-0.0253,-0.0232,0.0452,0.0428,-0.0472,0.0394,0.0155,0.1145,0.0588,-0.0014,0.0494,-0.0065,-0.0086,0.2379,0.0257,-0.1621,-0.3583,-0.1791,-0.1487,0.0389,0.1256,-0.0721,0.0184,0.1065,0.0395,0.1285,-0.0351,0.0159,0.0190,0.0180,0.2823,-0.0545,-0.1062,-0.0105,-0.1083,-0.0272,-0.1803,0.0615,-0.0954,-0.0276,0.0220,0.0389,0.0701,0.0634,0.1688,0.0661,0.1864,-0.0663,-0.2012,0.0230,0.0017,0.0881,0.1172,0.0441,0.0664,-0.2815,0.0599,-0.0167,-0.0467,0.0678,0.0096,0.0444,-0.0363,-0.0130,-0.0313,0.0619,0.0105,0.0094,Jackfish L.1,15-5849-54406,168,169
158,-0.90,1340,77.60,17.0,2.9,1587,23,4.6,4.6,5.8,0.21,0,11,-0.0711,0.1256,0.3820,0.0624,-0.0811,0.0392,-0.0010,-0.0457,-0.0413,0.0482,0.1112,0.0254,0.0357,0.0927,-0.0293,-0.0099,0.1544,0.0148,-0.0622,-0.0260,-0.0317,-0.0540,-0.0949,-0.0022,-0.0150,-0.0013,0.0116,-0.0157,0.0552,-0.0316,-0.2330,-0.0416,0.1395,-0.0799,-0.0542,-0.0259,0.0966,-0.1077,-0.1797,0.1695,-0.0043,-0.1390,-0.0535,0.1061,0.0279,-0.1736,0.0525,0.0312,-0.0605,-0.0498,0.0588,0.0284,0.0793,0.0040,0.0549,0.0021,0.0556,-0.0284,-0.0384,0.0040,-0.0161,0.0106,-0.0301,-0.0166,0.0121,-0.0315,-0.0348,0.0340,-0.0336,-0.0050,-0.0209,-0.0225,0.0243,-0.0051,-0.0085,0.0056,0.0159,0.0063,0.0075,-0.0080,0.0054,0.0005,0.0018,0.0011,0.0039,Jean L.,15-5958-53772,169,170
159,-0.51,538,85.70,18.2,2.9,1555,18,3.6,3.8,4.3,5.21,0,11,0.1155,0.3892,0.3600,-0.0356,-0.0609,0.2738,0.1355,0.2321,-0.0157,-0.1129,0.0480,0.0643,0.0636,-0.0477,-0.0873,0.0071,0.0684,-0.0147,-0.0500,0.0062,-0.0414,-0.0184,0.0218,0.0403,0.0250,-0.0376,0.0075,-0.0075,0.0093,0.0036,-0.0738,0.0482,0.3713,-0.1310,0.1043,-0.0118,0.0018,-0.0319,-0.1171,0.1483,-0.1658,0.0346,-0.1978,-0.1301,0.1093,0.0221,0.0168,-0.0899,0.0201,0.0275,-0.0488,-0.0250,0.0239,-0.0078,0.0955,0.0022,0.0439,0.1654,0.0673,-0.0693,0.1085,-0.0234,-0.0684,-0.0568,-0.0577,-0.0804,-0.0258,-0.0257,0.0542,-0.0443,0.0270,0.0154,0.0224,-0.0118,0.0212,0.0020,-0.0025,-0.0111,-0.0046,0.0235,0.0093,-0.0142,0.0027,-0.0200,0.0007,Kahshahpiwi L.,15-6126-53450,170,171
160,-0.75,2025,58.00,24.5,3.1,1684,79,3.8,6.7,5.1,1.16,0,24,0.0352,0.1807,0.4464,0.1340,0.1259,-0.1376,-0.0990,-0.0268,-0.0434,0.0812,0.0054,0.1019,0.0307,0.0837,-0.0257,-0.0551,-0.1373,0.0888,-0.0328,0.0164,-0.1415,0.0778,-0.0549,-0.0734,0.0300,0.0400,-0.0068,-0.0158,-0.0072,-0.0221,-0.0201,0.0617,0.2142,0.0987,-0.1297,0.0038,-0.1811,-0.0069,-0.0420,0.2539,-0.1020,0.1584,0.0105,-0.0764,-0.0834,-0.1791,0.0562,-0.0717,-0.1054,0.0670,0.0479,-0.1148,0.0051,0.1424,-0.1235,-0.0356,-0.0549,0.0037,-0.0125,0.0750,0.1515,0.0947,0.0183,-0.0846,-0.0350,0.0335,0.0610,0.0024,-0.0318,-0.1590,0.0154,0.0602,0.0356,0.0367,-0.0605,-0.0121,0.0334,0.0088,0.0158,0.0343,0.0124,0.0142,0.0054,-0.0004,-0.0401,Kaiashkons L.,15-4710-54335,171,172
161,-1.26,11062,58.00,20.6,3.2,1712,129,2.7,8.6,5.4,4.65,0,24,0.1768,-0.2253,0.3542,0.3194,0.0360,-0.2578,0.0099,-0.0192,0.0349,0.0494,0.0432,-0.0009,0.0261,0.0436,0.0195,0.0190,-0.0690,0.0299,-0.0123,0.0092,-0.0675,0.0226,0.0057,-0.0248,0.0307,0.0415,-0.0056,-0.0081,-0.0324,0.0204,-0.0460,0.0321,0.3124,0.1806,-0.2240,-0.0233,-0.1889,-0.0538,0.0241,0.1194,-0.0801,0.0449,-0.0331,0.0564,-0.1386,0.1316,0.0145,0.0286,-0.1047,-0.0637,0.0177,-0.0942,-0.1705,0.0492,0.0169,-0.0118,-0.0467,0.0829,-0.0359,0.0144,0.0776,0.0103,-0.0001,-0.1045,-0.0723,0.0775,0.0989,0.0699,-0.0348,0.0887,-0.0598,-0.0155,-0.0490,-0.0034,0.0034,0.0055,-0.0344,0.0036,-0.0141,-0.0025,0.0017,0.0460,-0.1192,0.0667,0.0104,Kakagi L.,15-4390-54514,172,173
162,-1.20,1079,76.30,23.1,3.2,1700,98,4.2,5.3,5.3,3.97,0,16,0.2214,-0.3675,0.1823,0.3429,0.0063,-0.1169,0.0900,0.0568,0.0833,-0.0757,-0.0475,-0.0218,-0.0045,0.0833,-0.0232,0.0000,-0.1176,0.0061,-0.0279,-0.0275,-0.1143,0.0810,0.0429,-0.0363,0.0496,0.0529,-0.0138,-0.0267,-0.0746,0.0259,-0.0405,0.0923,0.3350,0.0981,-0.1784,-0.0713,-0.0394,0.0769,0.0972,0.2580,-0.1629,0.0655,-0.1391,0.0929,-0.0841,0.0001,-0.1569,-0.0547,-0.0100,-0.1684,0.0618,-0.0680,-0.0875,-0.0600,0.0191,0.0634,-0.0026,0.1356,0.0576,-0.0312,0.1990,-0.0798,0.0297,-0.0129,-0.0761,0.1449,0.1244,0.0967,-0.0596,0.0375,-0.0407,0.0431,-0.0253,-0.0072,0.0008,0.0302,0.0003,0.0117,0.0015,0.0109,0.0280,-0.0253,0.0329,-0.0036,-0.0112,Katimiagamak L.,15-4479-54411,173,174
163,-0.85,1877,76.20,22.2,3.1,1691,29,8.6,4.2,4.7,1.83,0,18,-0.1048,-0.0908,0.2556,0.1008,0.0590,0.0160,-0.0392,0.1098,-0.0685,-0.1126,0.1210,0.0276,-0.0698,0.0827,-0.0766,0.0556,-0.0588,0.0803,0.0111,-0.0590,-0.1205,-0.0075,-0.1081,-0.0342,0.0619,-0.0035,0.0422,-0.0150,0.0532,0.0024,-0.1937,-0.1279,0.2238,0.1114,-0.1503,0.1374,0.0430,0.0155,0.0373,0.0721,-0.0367,-0.0481,0.0923,-0.0388,0.0475,-0.0165,-0.0280,0.0380,0.0348,-0.0856,0.0028,0.0555,-0.0674,-0.1104,-0.0622,0.0962,0.0294,-0.0555,0.0228,-0.0550,-0.0008,0.0652,-0.0146,-0.0203,0.1664,0.0532,-0.0749,-0.0311,-0.0431,-0.1237,-0.0024,-0.0281,-0.0167,0.0335,-0.0109,-0.0204,0.0133,0.0070,0.0112,-0.0071,-0.0201,0.0086,-0.0124,-0.0055,-0.0047,Lawrence L.,15-4729-54570,175,176
164,-0.98,294,23.00,10.6,3.1,1614,33,5.6,3.0,12.1,5.83,0,10,0.1759,-0.3184,0.1543,0.0627,-0.1871,0.1645,0.0389,-0.1681,-0.2298,-0.0407,-0.1417,-0.0682,0.0620,0.0937,0.1299,-0.0742,0.0187,-0.0197,0.0612,-0.0197,0.0375,-0.0097,0.0026,-0.0026,0.0262,-0.0404,0.0412,-0.0663,0.0361,0.0101,0.1237,-0.1859,0.2365,-0.1008,-0.1160,-0.2834,-0.0128,-0.1330,0.1277,-0.0628,-0.0670,-0.1482,0.0962,-0.1184,-0.0661,-0.1166,0.0664,0.0012,-0.0392,0.0009,0.1531,0.0156,-0.0220,-0.2423,-0.1131,0.0581,0.0139,-0.0913,0.0367,0.0729,0.0105,-0.1104,0.0520,-0.0636,-0.0855,-0.0561,0.0232,-0.0418,0.0132,-0.0172,-0.0394,0.0175,-0.0159,0.0205,-0.0190,-0.0130,-0.0035,-0.0116,0.0225,0.0058,-0.0072,0.0080,0.0076,0.0046,-0.0063,Lilac L.,15-5464-53494,176,177
165,-0.79,179,46.70,17.3,2.9,1711,36,3.6,7.5,4.2,2.18,0,7,0.4154,-0.2746,0.0474,0.3783,0.0802,0.1950,-0.0342,0.2281,-0.0089,-0.1855,0.0628,-0.0438,0.0040,0.0127,-0.0471,0.0439,0.0720,0.0137,-0.0092,0.0039,0.0258,-0.0233,0.0291,0.0421,0.0023,-0.0463,-0.0058,-0.0085,-0.0147,0.0329,0.4131,0.2816,-0.0580,-0.2742,-0.1867,-0.1764,0.1538,0.2601,-0.0015,0.0439,-0.0201,-0.1496,0.0736,-0.1358,0.1072,0.0758,-0.1849,0.0421,-0.1406,-0.0749,-0.0423,-0.0886,0.1729,0.1645,-0.1762,-0.0188,-0.0479,0.0006,-0.0234,-0.0375,-0.0495,-0.0449,0.0415,-0.0507,-0.0230,0.0203,0.0390,-0.0670,0.0832,0.0290,0.1840,-0.2178,0.0916,0.1245,0.1385,0.0088,-0.0811,0.0842,0.0412,-0.1260,0.0025,-0.1124,0.0153,-0.0096,-0.0182,Little Gordon L.,15-4452-55268,177,178
166,-1.42,64,5.40,2.5,3.2,1695,61,9.2,1.9,13.6,0.00,0,8,-0.1701,-0.2848,-0.2621,0.1095,-0.0721,0.0871,-0.2639,0.0500,0.0803,0.1717,0.0112,0.0537,0.0579,0.0558,0.0320,0.0080,0.0256,0.0023,-0.0610,0.0451,-0.0228,-0.0257,-0.0388,-0.0157,0.1440,0.0910,0.0043,0.0763,0.0333,-0.0755,-0.0109,-0.2234,-0.3665,-0.0117,-0.2887,0.1540,0.0167,-0.0295,-0.2734,0.0672,-0.0317,-0.1378,0.0218,0.0003,-0.0097,-0.1316,-0.0020,0.0722,0.0428,-0.0441,0.0748,-0.1274,0.0690,0.0175,0.0940,-0.0075,-0.0319,0.0158,-0.0069,0.0111,0.0515,0.1193,0.0704,0.1207,-0.1050,-0.1784,-0.0264,0.0496,-0.0073,0.0461,0.0000,-0.0289,0.0529,0.0075,0.0092,-0.0042,0.0010,-0.0189,0.0132,0.0056,-0.0065,0.0050,-0.0122,0.0085,0.0285,Little Kishkutena L.,15-4403-54276,178,179
167,-1.06,2306,9.20,3.6,3.1,1640,26,7.7,1.2,13.0,3.44,0,16,-0.2570,0.1063,-0.1192,-0.0141,-0.2196,0.0179,-0.0507,-0.0575,0.0547,0.0494,-0.0051,-0.0049,-0.0925,0.3072,-0.1343,0.0566,0.0590,0.0725,0.0142,0.0963,-0.0740,0.0292,0.1524,0.0008,-0.0449,-0.0509,0.1239,0.1088,0.0562,0.0322,-0.3101,-0.0199,0.0663,0.1002,-0.0558,0.2160,0.1474,-0.1230,-0.1439,-0.0351,-0.0943,0.0036,-0.0075,0.0101,0.0013,-0.0254,-0.1257,0.0079,-0.0122,0.0302,-0.0845,0.0574,0.0317,-0.0547,-0.0249,-0.0012,-0.0270,-0.0431,0.0129,-0.0032,-0.0598,0.0243,-0.0217,-0.0235,-0.0227,0.0119,0.0966,-0.0588,0.0876,-0.0330,-0.0648,0.0288,-0.0047,0.0019,-0.0003,0.0567,0.0348,0.0606,-0.1848,-0.0560,-0.0127,-0.0083,-0.0074,-0.0308,-0.0198,Little Turtle L.,15-5221-54041,179,180
168,-1.10,1827,32.90,14.0,2.7,1646,75,4.3,8.6,5.7,2.36,0,15,0.1086,-0.0016,0.2205,0.2831,-0.1150,-0.0776,0.0343,-0.0479,-0.0845,0.1957,0.1535,0.0565,0.0383,-0.0789,0.0158,0.0297,0.0287,0.0025,-0.0403,0.0050,0.0090,-0.0468,-0.0063,0.0301,-0.0270,-0.0262,0.0480,0.0283,0.0484,0.0230,-0.2295,0.1369,0.1348,0.1059,-0.0942,0.0719,-0.2756,-0.0384,-0.0008,0.0698,0.0190,0.0044,0.0106,-0.1715,0.0891,0.0280,0.0090,0.0698,0.0619,0.0317,-0.1429,0.0997,0.0162,-0.0635,-0.0408,-0.0197,0.0597,-0.0171,0.0641,-0.0345,-0.0229,-0.0205,-0.0372,0.0157,0.0049,-0.0517,-0.0439,-0.0013,-0.0028,0.0295,-0.0095,-0.0032,0.0097,0.0019,0.0017,-0.0094,-0.0067,0.0053,0.0150,0.0116,-0.0112,-0.0074,-0.0065,0.0020,-0.0017,Long L.1,15-5477-54774,180,181
169,-1.29,695,22.90,6.6,3.2,1778,127,9.0,2.3,12.6,11.81,0,17,-0.1270,-0.3115,-0.0580,0.0538,-0.2524,-0.0591,0.0086,0.0522,0.0613,0.0073,-0.0841,0.0416,0.0474,-0.0595,0.0547,0.0347,0.0228,-0.0180,-0.0650,0.0716,0.0024,-0.0157,0.0035,0.0443,0.2114,0.1232,0.0484,0.1280,0.0642,-0.1206,0.0052,-0.3474,-0.0432,0.2426,-0.1356,-0.1373,-0.0634,0.0469,0.1823,-0.0413,-0.1390,-0.0067,-0.0885,-0.0875,0.0727,0.0331,0.0692,0.0584,0.1061,0.0113,-0.0007,0.0165,-0.0003,-0.0315,0.0578,0.0722,0.0655,-0.0035,-0.0220,0.0484,0.1011,0.1508,0.0733,0.0058,0.1288,-0.0364,0.1461,0.0868,-0.0196,-0.1080,0.0420,0.0164,0.0107,0.0425,0.0064,-0.0329,0.0298,0.0027,0.0038,-0.0357,-0.0312,-0.0035,-0.0115,-0.0049,-0.0036,Longbow L.,15-4058-55081,181,182
170,-0.80,2095,47.30,11.3,3.2,1686,48,6.1,4.3,7.2,7.32,0,17,-0.1395,0.1694,0.3497,-0.0011,-0.0114,-0.0039,0.1043,-0.0942,-0.0419,-0.0215,0.0101,0.0118,-0.0395,0.1874,-0.0478,0.0019,0.0173,0.0655,-0.0229,-0.0625,-0.0444,-0.0167,-0.1185,-0.0619,0.0022,0.0371,-0.0065,-0.0374,0.0349,-0.0377,-0.1307,-0.0884,0.3167,0.0126,-0.0350,0.0704,0.0379,-0.0842,0.0243,0.0223,-0.0315,-0.0308,0.1843,-0.0021,-0.0544,0.1585,0.0488,-0.0503,-0.0346,-0.1405,0.0828,-0.0353,0.0032,-0.0122,0.0291,0.0606,0.0396,-0.0529,-0.0194,-0.0271,-0.0401,0.0095,-0.0184,0.0315,-0.0002,-0.0955,-0.0207,-0.0084,0.0071,0.0643,0.0509,0.0516,-0.1684,0.0211,0.0012,-0.0229,0.0278,0.0098,0.0209,-0.0202,0.0166,0.0011,0.0248,0.0019,0.0045,Loonhaunt L.,15-4632-54287,182,183
171,-1.23,719,76.30,21.1,2.8,1539,28,3.4,4.8,3.9,1.67,0,12,0.4450,-0.0943,0.0796,0.3843,0.0152,0.2513,-0.0435,0.1998,-0.0011,-0.1883,0.0716,-0.0063,0.0225,0.0129,-0.1084,0.0487,0.0738,-0.0336,-0.0560,-0.0303,0.0182,0.1121,-0.0146,0.0330,0.0016,-0.0998,-0.0327,0.0404,0.0019,-0.0459,0.1183,0.3060,0.0117,0.0426,-0.3176,-0.3522,0.0666,0.1354,-0.1076,0.1011,-0.2042,-0.0678,-0.0587,0.0553,0.0207,-0.0634,-0.1678,-0.0530,0.0058,-0.0565,-0.0632,-0.0229,0.0836,0.1991,-0.0647,-0.0012,0.0354,0.0073,-0.0910,-0.0402,0.0231,-0.1036,0.1298,0.1274,-0.0589,0.1080,0.0087,-0.0618,-0.0130,-0.0187,0.0958,-0.1297,-0.0021,0.0897,0.0312,-0.0055,0.0924,-0.0525,-0.0365,0.0492,0.0139,0.0132,-0.0141,-0.0113,0.0029,Louisa L.,15-6250-53348,183,184
172,-1.03,8872,81.00,19.9,3.0,1672,67,4.8,6.2,5.7,3.01,0,18,0.0710,-0.1793,0.3234,0.2334,-0.0897,-0.0004,-0.0294,-0.0538,0.0191,0.1214,-0.0086,0.0523,0.0661,0.0397,0.0719,-0.0347,-0.0420,0.0173,0.0121,-0.0010,-0.0891,0.0246,0.0002,-0.0517,-0.0152,0.0081,0.0128,-0.0081,0.0150,-0.0272,-0.0989,-0.0605,0.2704,0.0425,-0.1315,-0.0290,-0.0659,0.0177,-0.0098,0.2232,-0.1068,-0.0431,-0.0156,-0.0360,-0.1673,0.0660,-0.0152,-0.1069,0.0449,-0.1150,0.0168,-0.0231,0.0999,0.0392,-0.0318,0.0448,0.0306,-0.1043,-0.0774,-0.0980,-0.0219,0.0505,-0.0093,-0.0262,-0.0223,-0.0932,0.1078,0.1441,-0.0787,-0.0104,-0.0057,0.0392,0.0357,0.0152,-0.0095,0.0091,0.0187,0.0130,0.0128,0.0102,0.0191,0.0181,0.0057,-0.0036,0.0007,Lower Manitou L.,15-5023-54567,184,185
173,-0.68,1054,19.80,7.9,3.0,1744,31,8.4,3.1,15.4,10.73,0,10,-0.4090,0.0064,0.0202,-0.1160,-0.2694,-0.0461,0.1644,0.1071,-0.0712,-0.1205,-0.0591,-0.0941,0.0332,-0.0305,0.0521,-0.0431,0.0732,-0.0173,0.0013,0.0230,-0.0170,0.0162,0.0061,-0.0128,0.0013,0.0160,-0.0280,-0.0242,-0.0127,-0.0080,-0.2589,-0.0900,-0.1555,0.0647,-0.2169,-0.0922,0.0590,-0.1990,0.2191,-0.0807,-0.1222,0.0697,0.0953,0.1220,0.0147,-0.0949,-0.0438,-0.0627,-0.0273,-0.0719,0.0987,0.0162,0.0867,0.0346,0.0881,0.0476,0.0238,-0.0451,0.0046,-0.0114,-0.0194,0.0003,-0.0175,0.0011,-0.0025,0.0009,-0.0338,-0.0066,-0.0345,-0.0231,0.0042,-0.0184,0.0123,-0.0005,0.0082,-0.0022,0.0015,-0.0004,0.0059,0.0041,0.0004,-0.0022,-0.0019,-0.0045,-0.0060,Malachi L.,15-3559-55281,185,186
